ARQUIVO,WINER
PCA_media_rank_biclasse_min_solid_angle_1_MLP_iba.csv,DELAUNAY
PCA_media_rank_biclasse_edge_ratio_9_KNN_iba.csv,DELAUNAY
PCA_media_rank_biclasse_edge_ratio_9_KNN_geo.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_4_MLP_geo.csv,DELAUNAY
PCA_media_rank_biclasse_edge_ratio_4_KNN_iba.csv,DELAUNAY
PCA_media_rank_biclasse_aspect_ratio_4_KNN_iba.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_4_ABC_geo.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_1_KNN_auc.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_4_RF_geo.csv,DELAUNAY
PCA_media_rank_biclasse_area_volume_ratio_4_QDA_iba.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_9_QDA_auc.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_4_RF_iba.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_4_KNN_iba.csv,DELAUNAY
PCA_media_rank_biclasse_min_solid_angle_4_ABC_auc.csv,DELAUNAY
PCA_media_rank_biclasse_edge_ratio_4_QDA_iba.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_4_MLP_auc.csv,DELAUNAY
PCA_media_rank_biclasse_aspect_ratio_9_SGD_geo.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_1_RF_geo.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_9_QDA_auc.csv,DELAUNAY
PCA_media_rank_biclasse_max_solid_angle_4_SGD_geo.csv,DELAUNAY
PCA_media_rank_biclasse_min_solid_angle_1_MLP_geo.csv,DELAUNAY
PCA_media_rank_biclasse_area_volume_ratio_9_QDA_geo.csv,DELAUNAY
PCA_media_rank_biclasse_edge_ratio_4_RF_geo.csv,DELAUNAY
PCA_media_rank_biclasse_solid_angle_9_MLP_geo.csv,DELAUNAY
PCA_media_rank_biclasse_min_solid_angle_1_QDA_iba.csv,DELAUNAY
