MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,appendicitis,_Borderline1,ABC,NONE,NONE,0.7659999999999999,0.706,0.4880000000000001,0.72,0.504,0.33,0.5982352941176471
PCA,appendicitis,_Borderline1,DTREE,NONE,NONE,0.748,0.6980000000000001,0.49800000000000005,0.7100000000000001,0.504,0.32399999999999995,0.5973529411764706
PCA,appendicitis,_Borderline1,GNB,NONE,NONE,0.798,0.764,0.5820000000000001,0.772,0.632,0.43600000000000005,0.6717647058823528
PCA,appendicitis,_Borderline1,KNN,NONE,NONE,0.792,0.772,0.4960000000000001,0.772,0.576,0.366,0.6344117647058823
PCA,appendicitis,_Borderline1,LRG,NONE,NONE,0.8480000000000001,0.85,0.522,0.834,0.624,0.4119999999999999,0.6864705882352942
PCA,appendicitis,_Borderline1,MLP,NONE,NONE,0.8640000000000001,0.8200000000000001,0.6980000000000001,0.8220000000000001,0.73,0.5599999999999999,0.7594117647058822
PCA,appendicitis,_Borderline1,QDA,NONE,NONE,0.8220000000000001,0.8,0.654,0.8059999999999998,0.704,0.516,0.7285294117647059
PCA,appendicitis,_Borderline1,RF,NONE,NONE,0.7859999999999999,0.782,0.49799999999999994,0.78,0.584,0.376,0.6402941176470588
PCA,appendicitis,_Borderline1,SGD,NONE,NONE,0.7860000000000001,0.6500000000000001,0.618,0.626,0.472,0.31399999999999995,0.6344117647058823
PCA,appendicitis,_Borderline1,SVM,NONE,NONE,0.7380000000000001,0.8019999999999999,0.264,0.7399999999999999,0.19,0.094,0.533235294117647
PCA,appendicitis,_Borderline2,ABC,NONE,NONE,0.758,0.742,0.49800000000000005,0.748,0.576,0.35,0.6217647058823529
PCA,appendicitis,_Borderline2,DTREE,NONE,NONE,0.6859999999999999,0.65,0.36000000000000004,0.6639999999999999,0.33799999999999997,0.2,0.5055882352941177
PCA,appendicitis,_Borderline2,GNB,NONE,NONE,0.7859999999999999,0.746,0.576,0.756,0.6199999999999999,0.41600000000000004,0.6599999999999999
PCA,appendicitis,_Borderline2,KNN,NONE,NONE,0.784,0.734,0.4980000000000001,0.744,0.572,0.352,0.6158823529411764
PCA,appendicitis,_Borderline2,LRG,NONE,NONE,0.796,0.82,0.47800000000000004,0.8019999999999999,0.5199999999999999,0.356,0.6497058823529411
PCA,appendicitis,_Borderline2,MLP,NONE,NONE,0.8540000000000001,0.792,0.6920000000000001,0.8,0.716,0.542,0.7417647058823528
PCA,appendicitis,_Borderline2,QDA,NONE,NONE,0.8119999999999999,0.782,0.6479999999999999,0.7899999999999999,0.692,0.496,0.716764705882353
PCA,appendicitis,_Borderline2,RF,NONE,NONE,0.79,0.772,0.534,0.776,0.6119999999999999,0.40599999999999997,0.6535294117647059
PCA,appendicitis,_Borderline2,SGD,NONE,NONE,0.734,0.8200000000000001,0.32599999999999996,0.764,0.252,0.172,0.5732352941176471
PCA,appendicitis,_Borderline2,SVM,NONE,NONE,0.6900000000000001,0.8019999999999999,0.23600000000000004,0.726,0.1,0.052000000000000005,0.5191176470588236
PCA,appendicitis,_Geometric_SMOTE,ABC,NONE,NONE,0.7979999999999999,0.762,0.476,0.76,0.558,0.326,0.6194117647058823
PCA,appendicitis,_Geometric_SMOTE,DTREE,NONE,NONE,0.728,0.6300000000000001,0.502,0.6599999999999999,0.532,0.298,0.5652941176470587
PCA,appendicitis,_Geometric_SMOTE,GNB,NONE,NONE,0.7939999999999999,0.764,0.5800000000000001,0.772,0.634,0.442,0.6717647058823528
PCA,appendicitis,_Geometric_SMOTE,KNN,NONE,NONE,0.7939999999999999,0.754,0.49400000000000005,0.76,0.568,0.362,0.6226470588235294
PCA,appendicitis,_Geometric_SMOTE,LRG,NONE,NONE,0.8520000000000001,0.8480000000000001,0.562,0.836,0.65,0.4539999999999999,0.7055882352941175
PCA,appendicitis,_Geometric_SMOTE,MLP,NONE,NONE,0.834,0.818,0.5940000000000001,0.8140000000000001,0.656,0.4699999999999999,0.7070588235294117
PCA,appendicitis,_Geometric_SMOTE,QDA,NONE,NONE,0.812,0.792,0.616,0.7959999999999999,0.674,0.48199999999999993,0.7035294117647057
PCA,appendicitis,_Geometric_SMOTE,RF,NONE,NONE,0.748,0.7060000000000001,0.48200000000000004,0.724,0.55,0.33599999999999997,0.593235294117647
PCA,appendicitis,_Geometric_SMOTE,SGD,NONE,NONE,0.834,0.732,0.574,0.718,0.568,0.352,0.6541176470588235
PCA,appendicitis,_Geometric_SMOTE,SVM,NONE,NONE,0.6460000000000001,0.792,0.196,0.7059999999999998,0.0,0.0,0.49411764705882355
PCA,appendicitis,_SMOTE,ABC,NONE,NONE,0.76,0.764,0.46399999999999997,0.756,0.49000000000000005,0.31799999999999995,0.6144117647058824
PCA,appendicitis,_SMOTE,DTREE,NONE,NONE,0.722,0.662,0.4779999999999999,0.6799999999999999,0.472,0.292,0.5688235294117646
PCA,appendicitis,_SMOTE,GNB,NONE,NONE,0.798,0.764,0.5820000000000001,0.772,0.632,0.43600000000000005,0.6717647058823528
PCA,appendicitis,_SMOTE,KNN,NONE,NONE,0.772,0.734,0.4600000000000001,0.74,0.538,0.31599999999999995,0.5967647058823529
PCA,appendicitis,_SMOTE,LRG,NONE,NONE,0.85,0.8480000000000001,0.562,0.836,0.648,0.45199999999999996,0.7055882352941177
PCA,appendicitis,_SMOTE,MLP,NONE,NONE,0.8459999999999999,0.818,0.632,0.818,0.6900000000000001,0.506,0.7261764705882352
PCA,appendicitis,_SMOTE,QDA,NONE,NONE,0.808,0.7899999999999998,0.6140000000000001,0.7939999999999999,0.6659999999999998,0.472,0.7035294117647058
PCA,appendicitis,_SMOTE,RF,NONE,NONE,0.7459999999999999,0.764,0.418,0.752,0.4,0.286,0.5902941176470587
PCA,appendicitis,_SMOTE,SGD,NONE,NONE,0.78,0.8019999999999999,0.4739999999999999,0.764,0.406,0.286,0.6379411764705882
PCA,appendicitis,_SMOTE,SVM,NONE,NONE,0.6900000000000001,0.8019999999999999,0.23600000000000004,0.726,0.1,0.052000000000000005,0.5191176470588236
PCA,appendicitis,_delaunay_area_1,ABC,area,1,0.78,0.764,0.532,0.764,0.5940000000000001,0.382,0.6476470588235295
PCA,appendicitis,_delaunay_area_1,DTREE,area,1,0.716,0.682,0.41600000000000004,0.6859999999999999,0.42400000000000004,0.236,0.5473529411764706
PCA,appendicitis,_delaunay_area_1,GNB,area,1,0.772,0.764,0.542,0.7620000000000001,0.5399999999999999,0.396,0.6526470588235294
PCA,appendicitis,_delaunay_area_1,KNN,area,1,0.804,0.772,0.534,0.776,0.61,0.40199999999999997,0.6535294117647059
PCA,appendicitis,_delaunay_area_1,LRG,area,1,0.774,0.818,0.404,0.7859999999999999,0.39,0.27199999999999996,0.6114705882352942
PCA,appendicitis,_delaunay_area_1,MLP,area,1,0.8520000000000001,0.8380000000000001,0.588,0.8320000000000001,0.666,0.4800000000000001,0.7138235294117646
PCA,appendicitis,_delaunay_area_1,QDA,area,1,0.8280000000000001,0.8100000000000002,0.658,0.8119999999999999,0.708,0.522,0.7344117647058823
PCA,appendicitis,_delaunay_area_1,RF,area,1,0.788,0.764,0.5700000000000001,0.768,0.6280000000000001,0.41999999999999993,0.6667647058823529
PCA,appendicitis,_delaunay_area_1,SGD,area,1,0.8160000000000001,0.8220000000000001,0.506,0.7999999999999999,0.522,0.366,0.6638235294117647
PCA,appendicitis,_delaunay_area_1,SVM,area,1,0.688,0.792,0.23400000000000004,0.72,0.1,0.052000000000000005,0.5132352941176471
PCA,appendicitis,_delaunay_area_4,ABC,area,4,0.78,0.754,0.5,0.752,0.516,0.344,0.6276470588235294
PCA,appendicitis,_delaunay_area_4,DTREE,area,4,0.726,0.6980000000000001,0.422,0.702,0.44399999999999995,0.254,0.5591176470588235
PCA,appendicitis,_delaunay_area_4,GNB,area,4,0.8019999999999999,0.772,0.584,0.78,0.6379999999999999,0.45,0.6776470588235293
PCA,appendicitis,_delaunay_area_4,KNN,area,4,0.796,0.762,0.532,0.766,0.6,0.386,0.6476470588235294
PCA,appendicitis,_delaunay_area_4,LRG,area,4,0.782,0.8280000000000001,0.40599999999999997,0.792,0.394,0.27599999999999997,0.6173529411764707
PCA,appendicitis,_delaunay_area_4,MLP,area,4,0.8539999999999999,0.8280000000000001,0.6260000000000001,0.8280000000000001,0.692,0.5119999999999999,0.7270588235294116
PCA,appendicitis,_delaunay_area_4,QDA,area,4,0.8200000000000001,0.8100000000000002,0.62,0.808,0.674,0.484,0.7152941176470587
PCA,appendicitis,_delaunay_area_4,RF,area,4,0.7860000000000001,0.772,0.534,0.772,0.6,0.39199999999999996,0.6535294117647059
