DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,ABC,0.8740000000000001,7.0,0.938,1.0,0.9359999999999999,2.5,0.9359999999999999,2.5,0.924,4.0,0.9,6.0,0.9200000000000002,5.0,min_solid_angle,4,GEO
x80data,ABC,0.696,7.0,0.8139999999999998,4.0,0.82,3.0,0.768,6.0,0.8059999999999999,5.0,0.85,1.0,0.8340000000000001,2.0,min_solid_angle,4,GEO
x7data,ABC,0.7,7.0,0.8600000000000001,5.0,0.8859999999999999,3.0,0.852,6.0,0.866,4.0,0.9640000000000001,1.0,0.8880000000000001,2.0,min_solid_angle,4,GEO
x79data,ABC,0.792,7.0,0.866,5.0,0.8780000000000001,4.0,0.8939999999999999,1.0,0.8859999999999999,3.0,0.8059999999999998,6.0,0.8880000000000001,2.0,min_solid_angle,4,GEO
x78data,ABC,0.92,4.0,0.91,5.5,0.91,5.5,0.938,2.0,0.94,1.0,0.902,7.0,0.93,3.0,min_solid_angle,4,GEO
x76data,ABC,0.8619999999999999,4.5,0.836,7.0,0.906,1.0,0.8619999999999999,4.5,0.866,3.0,0.898,2.0,0.8420000000000001,6.0,min_solid_angle,4,GEO
x75data,ABC,0.972,6.0,0.984,3.5,0.998,1.0,0.984,3.5,0.932,7.0,0.994,2.0,0.974,5.0,min_solid_angle,4,GEO
x74data,ABC,0.968,5.5,0.982,4.0,0.998,1.0,0.968,5.5,0.946,7.0,0.992,3.0,0.996,2.0,min_solid_angle,4,GEO
x73data,ABC,0.8640000000000001,5.0,0.8640000000000001,5.0,0.8600000000000001,7.0,0.8640000000000001,5.0,0.866,3.0,0.8860000000000001,2.0,0.89,1.0,min_solid_angle,4,GEO
x72data,ABC,0.932,7.0,0.946,6.0,0.958,1.5,0.952,4.0,0.9559999999999998,3.0,0.958,1.5,0.95,5.0,min_solid_angle,4,GEO
x71data,ABC,0.89,6.0,0.908,4.0,0.8940000000000001,5.0,0.9239999999999998,2.0,0.91,3.0,0.8800000000000001,7.0,0.934,1.0,min_solid_angle,4,GEO
x70data,ABC,0.6100000000000001,7.0,0.672,3.0,0.6659999999999999,6.0,0.698,2.0,0.7140000000000001,1.0,0.6699999999999999,4.5,0.6699999999999999,4.5,min_solid_angle,4,GEO
x69data,ABC,0.6479999999999999,7.0,0.71,3.5,0.7340000000000001,1.0,0.71,3.5,0.7200000000000001,2.0,0.6659999999999999,6.0,0.708,5.0,min_solid_angle,4,GEO
x68data,ABC,0.952,4.5,0.952,4.5,0.958,1.5,0.952,4.5,0.958,1.5,0.948,7.0,0.952,4.5,min_solid_angle,4,GEO
x66data,ABC,0.642,6.0,0.674,4.5,0.6839999999999999,3.0,0.674,4.5,0.6859999999999999,2.0,0.6279999999999999,7.0,0.6920000000000001,1.0,min_solid_angle,4,GEO
x65data,ABC,0.8160000000000001,1.0,0.7959999999999999,3.0,0.7759999999999999,6.0,0.7939999999999999,4.0,0.784,5.0,0.772,7.0,0.804,2.0,min_solid_angle,4,GEO
x64data,ABC,0.99,6.0,1.0,2.5,1.0,2.5,0.99,6.0,0.99,6.0,1.0,2.5,1.0,2.5,min_solid_angle,4,GEO
x63data,ABC,0.532,7.0,0.5920000000000001,4.0,0.59,5.0,0.614,1.0,0.606,2.0,0.534,6.0,0.5980000000000001,3.0,min_solid_angle,4,GEO
x60data,ABC,0.7759999999999999,1.0,0.7440000000000001,5.0,0.748,4.0,0.762,2.0,0.7360000000000001,6.0,0.698,7.0,0.75,3.0,min_solid_angle,4,GEO
x50data,ABC,0.67,6.0,0.7579999999999999,2.0,0.7060000000000001,5.0,0.7459999999999999,4.0,0.752,3.0,0.6679999999999999,7.0,0.7899999999999999,1.0,min_solid_angle,4,GEO
x4data,ABC,0.938,5.0,0.968,1.0,0.958,2.0,0.9359999999999999,6.0,0.91,7.0,0.94,4.0,0.952,3.0,min_solid_angle,4,GEO
x48data,ABC,0.6859999999999999,6.0,0.836,3.0,0.8480000000000001,2.0,0.8300000000000001,4.0,0.8560000000000001,1.0,0.6759999999999999,7.0,0.8200000000000001,5.0,min_solid_angle,4,GEO
