DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,LRG,0.7939999999999999,7.0,0.892,5.5,0.9,3.0,0.904,2.0,0.912,1.0,0.892,5.5,0.8959999999999999,4.0,min_solid_angle,9,GEO
x80data,LRG,0.0,7.0,0.8620000000000001,2.0,0.8620000000000001,2.0,0.8560000000000001,5.0,0.8539999999999999,6.0,0.8620000000000001,2.0,0.858,4.0,min_solid_angle,9,GEO
x7data,LRG,0.33,7.0,0.6559999999999999,5.5,0.66,4.0,0.6859999999999999,1.0,0.67,2.0,0.6559999999999999,5.5,0.6639999999999999,3.0,min_solid_angle,9,GEO
x79data,LRG,0.1,7.0,0.8400000000000001,6.0,0.852,5.0,0.858,2.5,0.866,1.0,0.8560000000000001,4.0,0.858,2.5,min_solid_angle,9,GEO
x78data,LRG,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,min_solid_angle,9,GEO
x76data,LRG,0.064,7.0,0.8699999999999999,6.0,0.8940000000000001,1.5,0.8939999999999999,1.5,0.892,3.0,0.8800000000000001,4.5,0.8800000000000001,4.5,min_solid_angle,9,GEO
x75data,LRG,0.0,7.0,0.664,2.0,0.624,4.0,0.342,5.0,0.318,6.0,0.664,2.0,0.664,2.0,min_solid_angle,9,GEO
x74data,LRG,0.0,7.0,0.6579999999999999,2.0,0.5720000000000001,4.0,0.20600000000000002,5.5,0.20600000000000002,5.5,0.6579999999999999,2.0,0.6579999999999999,2.0,min_solid_angle,9,GEO
x73data,LRG,0.5479999999999999,7.0,0.836,6.0,0.8560000000000001,3.0,0.8619999999999999,2.0,0.8699999999999999,1.0,0.8379999999999999,5.0,0.8440000000000001,4.0,min_solid_angle,9,GEO
x72data,LRG,0.41600000000000004,7.0,0.7380000000000001,6.0,0.748,2.0,0.7459999999999999,3.5,0.7559999999999999,1.0,0.74,5.0,0.746,3.5,min_solid_angle,9,GEO
x71data,LRG,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,min_solid_angle,9,GEO
x70data,LRG,0.0,7.0,0.5980000000000001,2.0,0.6,1.0,0.5920000000000001,3.5,0.57,6.0,0.5919999999999999,3.5,0.588,5.0,min_solid_angle,9,GEO
x69data,LRG,0.0,7.0,0.512,4.0,0.5660000000000001,1.0,0.37,5.0,0.336,6.0,0.522,3.0,0.53,2.0,min_solid_angle,9,GEO
x68data,LRG,0.0,7.0,0.13199999999999998,5.0,0.15,3.0,0.29400000000000004,1.0,0.27,2.0,0.142,4.0,0.102,6.0,min_solid_angle,9,GEO
x66data,LRG,0.442,7.0,0.6779999999999999,4.0,0.6759999999999999,6.0,0.6799999999999999,1.5,0.6799999999999999,1.5,0.6779999999999999,4.0,0.6779999999999999,4.0,min_solid_angle,9,GEO
x65data,LRG,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,min_solid_angle,9,GEO
