DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,GNB,0.934,2.0,0.934,2.0,0.93,4.0,0.9260000000000002,5.0,0.922,6.0,0.934,2.0,aspect_ratio,1,REC
x80data,GNB,0.8780000000000001,3.5,0.884,1.0,0.8800000000000001,2.0,0.8780000000000001,3.5,0.858,5.0,0.85,6.0,aspect_ratio,1,REC
x7data,GNB,0.8700000000000001,2.0,0.8740000000000001,1.0,0.8420000000000001,6.0,0.852,3.0,0.8480000000000001,4.5,0.8480000000000001,4.5,aspect_ratio,1,REC
x79data,GNB,0.268,5.0,0.294,3.0,0.27,4.0,0.21,6.0,0.594,2.0,0.78,1.0,aspect_ratio,1,REC
x78data,GNB,0.95,3.0,0.9640000000000001,1.0,0.942,5.0,0.95,3.0,0.95,3.0,0.922,6.0,aspect_ratio,1,REC
x76data,GNB,0.938,2.0,0.934,3.0,0.924,6.0,0.9440000000000002,1.0,0.9280000000000002,4.5,0.9279999999999999,4.5,aspect_ratio,1,REC
x75data,GNB,0.986,1.0,0.972,2.0,0.956,5.0,0.958,4.0,0.902,6.0,0.9640000000000001,3.0,aspect_ratio,1,REC
x74data,GNB,0.988,1.0,0.968,3.0,0.9640000000000001,4.0,0.972,2.0,0.954,6.0,0.96,5.0,aspect_ratio,1,REC
x73data,GNB,0.866,2.0,0.86,3.0,0.8700000000000001,1.0,0.8540000000000001,5.0,0.8460000000000001,6.0,0.8560000000000001,4.0,aspect_ratio,1,REC
x72data,GNB,0.7460000000000001,1.0,0.736,2.0,0.728,4.0,0.732,3.0,0.718,6.0,0.726,5.0,aspect_ratio,1,REC
x71data,GNB,0.902,3.5,0.908,1.0,0.902,3.5,0.8880000000000001,5.5,0.8880000000000001,5.5,0.906,2.0,aspect_ratio,1,REC
x70data,GNB,0.718,1.0,0.71,2.0,0.696,4.0,0.7040000000000001,3.0,0.6859999999999999,5.0,0.66,6.0,aspect_ratio,1,REC
x69data,GNB,0.7219999999999999,1.0,0.72,2.0,0.7140000000000001,3.0,0.7060000000000001,4.0,0.7,5.0,0.6799999999999999,6.0,aspect_ratio,1,REC
x68data,GNB,0.852,1.0,0.8140000000000001,2.0,0.7879999999999999,3.0,0.642,6.0,0.6580000000000001,5.0,0.68,4.0,aspect_ratio,1,REC
x66data,GNB,0.306,6.0,0.318,3.5,0.31,5.0,0.318,3.5,0.52,2.0,0.596,1.0,aspect_ratio,1,REC
x65data,GNB,0.6399999999999999,3.0,0.6399999999999999,3.0,0.6399999999999999,3.0,0.634,5.0,0.614,6.0,0.642,1.0,aspect_ratio,1,REC
x64data,GNB,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,aspect_ratio,1,REC
x63data,GNB,0.652,3.5,0.66,2.0,0.6639999999999999,1.0,0.642,5.0,0.652,3.5,0.628,6.0,aspect_ratio,1,REC
x60data,GNB,0.5780000000000001,4.0,0.5840000000000001,2.0,0.5860000000000001,1.0,0.5760000000000001,5.0,0.58,3.0,0.556,6.0,aspect_ratio,1,REC
x50data,GNB,0.76,6.0,0.8059999999999999,5.0,0.882,2.0,0.8779999999999999,3.0,0.89,1.0,0.8140000000000001,4.0,aspect_ratio,1,REC
x4data,GNB,0.938,1.0,0.8960000000000001,2.0,0.8139999999999998,6.0,0.8400000000000001,4.0,0.8319999999999999,5.0,0.882,3.0,aspect_ratio,1,REC
x48data,GNB,0.89,2.0,0.898,1.0,0.8700000000000001,5.0,0.8740000000000001,4.0,0.8759999999999999,3.0,0.794,6.0,aspect_ratio,1,REC
x45data,GNB,0.972,1.0,0.968,2.0,0.958,3.0,0.908,5.0,0.898,6.0,0.9559999999999998,4.0,aspect_ratio,1,REC
x39data,GNB,0.8619999999999999,5.0,0.8699999999999999,2.0,0.868,3.0,0.8939999999999999,1.0,0.866,4.0,0.85,6.0,aspect_ratio,1,REC
x38data,GNB,0.976,1.5,0.976,1.5,0.94,3.0,0.9259999999999999,4.0,0.908,5.0,0.892,6.0,aspect_ratio,1,REC
x35data,GNB,1.0,2.0,1.0,2.0,1.0,2.0,0.998,4.0,0.992,6.0,0.996,5.0,aspect_ratio,1,REC
x32data,GNB,0.934,1.0,0.912,3.0,0.914,2.0,0.904,4.0,0.882,5.0,0.8620000000000001,6.0,aspect_ratio,1,REC
x31data,GNB,0.2,6.0,0.228,5.0,0.31999999999999995,3.0,0.278,4.0,0.422,2.0,0.53,1.0,aspect_ratio,1,REC
x30data,GNB,0.516,3.0,0.524,2.0,0.478,4.0,0.388,6.0,0.5599999999999999,1.0,0.394,5.0,aspect_ratio,1,REC
x20data,GNB,0.9260000000000002,1.0,0.904,6.0,0.91,3.0,0.908,4.5,0.908,4.5,0.914,2.0,aspect_ratio,1,REC
x1data,GNB,0.882,2.0,0.8800000000000001,3.0,0.89,1.0,0.8740000000000001,4.0,0.8559999999999999,5.0,0.8480000000000001,6.0,aspect_ratio,1,REC
