DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,DTREE,0.9640000000000001,1.5,0.96,4.0,0.962,3.0,0.958,5.0,0.946,7.0,0.9640000000000001,1.5,0.952,6.0,solid_angle,1,PRE
x80data,DTREE,0.906,5.0,0.912,3.0,0.92,1.0,0.898,7.0,0.9,6.0,0.914,2.0,0.91,4.0,solid_angle,1,PRE
x7data,DTREE,0.958,1.0,0.9359999999999999,5.0,0.9559999999999998,2.0,0.9399999999999998,4.0,0.9280000000000002,7.0,0.95,3.0,0.934,6.0,solid_angle,1,PRE
x79data,DTREE,0.9280000000000002,5.0,0.93,4.0,0.9359999999999999,2.5,0.938,1.0,0.9179999999999999,6.0,0.9359999999999999,2.5,0.912,7.0,solid_angle,1,PRE
x78data,DTREE,0.9559999999999998,3.5,0.956,3.5,0.954,5.0,0.944,6.0,0.958,2.0,0.9600000000000002,1.0,0.93,7.0,solid_angle,1,PRE
x76data,DTREE,0.892,6.0,0.914,4.0,0.922,1.0,0.912,5.0,0.916,2.5,0.916,2.5,0.8859999999999999,7.0,solid_angle,1,PRE
x75data,DTREE,0.988,3.0,0.982,4.0,0.992,1.5,0.992,1.5,0.97,6.0,0.972,5.0,0.9620000000000001,7.0,solid_angle,1,PRE
x74data,DTREE,0.984,4.0,0.984,4.0,0.988,1.5,0.988,1.5,0.984,4.0,0.98,6.0,0.95,7.0,solid_angle,1,PRE
x73data,DTREE,0.922,1.0,0.91,2.0,0.8979999999999999,6.0,0.9,5.0,0.8740000000000001,7.0,0.908,3.0,0.906,4.0,solid_angle,1,PRE
x72data,DTREE,0.9440000000000002,3.5,0.954,2.0,0.942,5.0,0.956,1.0,0.9259999999999999,7.0,0.944,3.5,0.9280000000000002,6.0,solid_angle,1,PRE
x71data,DTREE,0.922,5.0,0.9259999999999999,3.0,0.938,2.0,0.904,6.5,0.924,4.0,0.954,1.0,0.904,6.5,solid_angle,1,PRE
x70data,DTREE,0.748,3.5,0.748,3.5,0.762,1.0,0.742,5.5,0.75,2.0,0.742,5.5,0.7319999999999999,7.0,solid_angle,1,PRE
x69data,DTREE,0.746,7.0,0.7699999999999999,3.5,0.78,1.0,0.77,3.5,0.7759999999999999,2.0,0.7559999999999999,6.0,0.768,5.0,solid_angle,1,PRE
x68data,DTREE,0.94,3.0,0.95,1.5,0.95,1.5,0.9359999999999999,4.0,0.932,5.0,0.93,6.0,0.902,7.0,solid_angle,1,PRE
x66data,DTREE,0.7299999999999999,1.0,0.708,4.0,0.706,5.0,0.7,7.0,0.7020000000000001,6.0,0.7180000000000001,2.0,0.716,3.0,solid_angle,1,PRE
x65data,DTREE,0.8059999999999999,4.0,0.8119999999999999,2.5,0.8039999999999999,5.0,0.8240000000000001,1.0,0.812,2.5,0.792,6.0,0.7699999999999999,7.0,solid_angle,1,PRE
x64data,DTREE,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.994,6.0,0.988,7.0,solid_angle,1,PRE
x63data,DTREE,0.6459999999999999,2.5,0.638,4.0,0.628,6.0,0.6300000000000001,5.0,0.6459999999999999,2.5,0.624,7.0,0.654,1.0,solid_angle,1,PRE
