,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
0,PCA,appendicitis,_train,ABC,NONE,NONE,0.774,0.784,0.402,0.764,0.4480000000000001,0.264,0.5929411764705883
1,PCA,appendicitis,_train,DTREE,NONE,NONE,0.7380000000000001,0.736,0.43,0.732,0.46,0.284,0.5826470588235294
2,PCA,appendicitis,_train,GNB,NONE,NONE,0.7819999999999999,0.7799999999999999,0.5479999999999999,0.7759999999999999,0.546,0.406,0.6644117647058824
3,PCA,appendicitis,_train,KNN,NONE,NONE,0.7040000000000001,0.7839999999999999,0.268,0.728,0.194,0.098,0.526470588235294
4,PCA,appendicitis,_train,LRG,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
5,PCA,appendicitis,_train,MLP,NONE,NONE,0.828,0.8480000000000001,0.4480000000000001,0.8180000000000002,0.494,0.32799999999999996,0.6482352941176469
6,PCA,appendicitis,_train,QDA,NONE,NONE,0.826,0.818,0.622,0.8160000000000001,0.68,0.494,0.7211764705882352
7,PCA,appendicitis,_train,RF,NONE,NONE,0.768,0.8099999999999999,0.4,0.78,0.39,0.268,0.6055882352941176
8,PCA,appendicitis,_train,SGD,NONE,NONE,0.7659999999999999,0.706,0.4819999999999999,0.648,0.32199999999999995,0.20600000000000002,0.5941176470588235
9,PCA,appendicitis,_train,SVM,NONE,NONE,0.648,0.8019999999999999,0.198,0.71,0.0,0.0,0.5
10,PCA,autoUniv-au1-1000,_train,ABC,NONE,NONE,0.67,0.722,0.36,0.674,0.382,0.158,0.541704011552018
11,PCA,autoUniv-au1-1000,_train,DTREE,NONE,NONE,0.69,0.6900000000000001,0.502,0.6900000000000001,0.5579999999999999,0.32,0.5961363569831789
12,PCA,autoUniv-au1-1000,_train,GNB,NONE,NONE,0.6859999999999999,0.726,0.406,0.696,0.458,0.218,0.5657393644365614
13,PCA,autoUniv-au1-1000,_train,KNN,NONE,NONE,0.7,0.7340000000000001,0.426,0.706,0.484,0.24000000000000005,0.5806668059234187
14,PCA,autoUniv-au1-1000,_train,LRG,NONE,NONE,0.6540000000000001,0.7360000000000001,0.28600000000000003,0.65,0.184,0.044,0.5117970098921539
15,PCA,autoUniv-au1-1000,_train,MLP,NONE,NONE,0.738,0.7460000000000001,0.442,0.7120000000000001,0.466,0.252,0.593319670303484
16,PCA,autoUniv-au1-1000,_train,QDA,NONE,NONE,0.7060000000000001,0.728,0.47,0.7120000000000001,0.534,0.294,0.6004249656440734
17,PCA,autoUniv-au1-1000,_train,RF,NONE,NONE,0.73,0.76,0.414,0.718,0.4619999999999999,0.22000000000000008,0.5862430675991671
18,PCA,autoUniv-au1-1000,_train,SGD,NONE,NONE,0.6839999999999999,0.708,0.406,0.6659999999999999,0.386,0.19,0.5574005319662643
19,PCA,autoUniv-au1-1000,_train,SVM,NONE,NONE,0.55,0.74,0.26,0.63,0.0,0.0,0.5
20,PCA,climate-simulation-craches,_train,ABC,NONE,NONE,0.8779999999999999,0.9,0.29800000000000004,0.8859999999999999,0.366,0.23200000000000004,0.5975345289631003
21,PCA,climate-simulation-craches,_train,DTREE,NONE,NONE,0.8619999999999999,0.868,0.256,0.868,0.3720000000000001,0.188,0.5622613894042466
22,PCA,climate-simulation-craches,_train,GNB,NONE,NONE,0.924,0.546,0.938,0.636,0.7020000000000001,0.4779999999999999,0.7429189857761287
23,PCA,climate-simulation-craches,_train,KNN,NONE,NONE,0.8400000000000001,0.902,0.1,0.868,0.062,0.02,0.5008987837559266
24,PCA,climate-simulation-craches,_train,LRG,NONE,NONE,0.836,0.9179999999999999,0.08199999999999999,0.8759999999999999,0.0,0.0,0.5
