DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,GEOSMOTE,RANK_GEOSMOTE,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,SVM,0.938,3.5,0.94,1.5,0.922,5.0,0.902,6.0,0.898,7.0,0.938,3.5,0.94,1.5,volume,4,REC
x80data,SVM,0.9,1.0,0.8220000000000001,3.0,0.8140000000000001,5.0,0.8059999999999999,6.0,0.8019999999999999,7.0,0.828,2.0,0.82,4.0,volume,4,REC
x7data,SVM,0.9200000000000002,6.0,0.93,1.0,0.9200000000000002,6.0,0.924,4.0,0.9200000000000002,6.0,0.9280000000000002,2.0,0.9259999999999999,3.0,volume,4,REC
x79data,SVM,0.89,7.0,0.9259999999999999,1.0,0.922,3.0,0.91,5.0,0.914,4.0,0.924,2.0,0.8960000000000001,6.0,volume,4,REC
x78data,SVM,0.8640000000000001,4.0,0.8640000000000001,4.0,0.8640000000000001,4.0,0.8640000000000001,4.0,0.8640000000000001,4.0,0.8640000000000001,4.0,0.8640000000000001,4.0,volume,4,REC
x76data,SVM,0.8459999999999999,7.0,0.906,2.0,0.8939999999999999,4.0,0.8759999999999999,6.0,0.884,5.0,0.904,3.0,0.91,1.0,volume,4,REC
x75data,SVM,0.8400000000000001,6.5,0.9,1.5,0.8640000000000001,4.0,0.8440000000000001,5.0,0.8400000000000001,6.5,0.8959999999999999,3.0,0.9,1.5,volume,4,REC
x74data,SVM,0.8400000000000001,6.0,0.898,2.5,0.86,4.0,0.8400000000000001,6.0,0.8400000000000001,6.0,0.898,2.5,0.904,1.0,volume,4,REC
x73data,SVM,0.77,7.0,0.858,5.0,0.8559999999999999,6.0,0.8639999999999999,1.0,0.8619999999999999,3.0,0.8619999999999999,3.0,0.8619999999999999,3.0,volume,4,REC
x72data,SVM,0.762,1.0,0.7219999999999999,5.0,0.71,6.0,0.7080000000000001,7.0,0.7240000000000001,4.0,0.726,3.0,0.7460000000000001,2.0,volume,4,REC
x71data,SVM,0.7619999999999999,4.0,0.7619999999999999,4.0,0.7619999999999999,4.0,0.7619999999999999,4.0,0.7619999999999999,4.0,0.7619999999999999,4.0,0.7619999999999999,4.0,volume,4,REC
x70data,SVM,0.75,3.5,0.75,3.5,0.7399999999999999,7.0,0.75,3.5,0.75,3.5,0.75,3.5,0.75,3.5,volume,4,REC
x69data,SVM,0.7440000000000001,4.0,0.7440000000000001,4.0,0.7440000000000001,4.0,0.7440000000000001,4.0,0.7440000000000001,4.0,0.7440000000000001,4.0,0.7440000000000001,4.0,volume,4,REC
x68data,SVM,0.74,4.0,0.74,4.0,0.74,4.0,0.74,4.0,0.74,4.0,0.74,4.0,0.74,4.0,volume,4,REC
x66data,SVM,0.71,7.0,0.764,3.5,0.7659999999999999,2.0,0.7700000000000001,1.0,0.764,3.5,0.762,5.0,0.7559999999999999,6.0,volume,4,REC
x65data,SVM,0.67,4.0,0.67,4.0,0.67,4.0,0.67,4.0,0.67,4.0,0.67,4.0,0.67,4.0,volume,4,REC
x64data,SVM,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,volume,4,REC
x63data,SVM,0.65,1.0,0.638,5.0,0.638,5.0,0.64,3.0,0.63,7.0,0.638,5.0,0.6479999999999999,2.0,volume,4,REC
x60data,SVM,0.644,4.0,0.644,4.0,0.644,4.0,0.644,4.0,0.644,4.0,0.644,4.0,0.644,4.0,volume,4,REC
x50data,SVM,0.98,1.0,0.912,5.0,0.93,2.0,0.902,6.0,0.8960000000000001,7.0,0.914,4.0,0.9260000000000002,3.0,volume,4,REC
x4data,SVM,0.958,1.0,0.956,2.5,0.9,5.0,0.884,6.0,0.868,7.0,0.956,2.5,0.95,4.0,volume,4,REC
x48data,SVM,0.97,1.0,0.932,3.5,0.932,3.5,0.92,6.0,0.912,7.0,0.93,5.0,0.956,2.0,volume,4,REC
x45data,SVM,0.96,7.0,0.98,2.0,0.978,4.0,0.9640000000000001,6.0,0.966,5.0,0.98,2.0,0.98,2.0,volume,4,REC
x39data,SVM,0.944,3.5,0.934,6.5,0.944,3.5,0.9559999999999998,2.0,0.958,1.0,0.934,6.5,0.942,5.0,volume,4,REC
x38data,SVM,0.9399999999999998,3.0,0.968,1.0,0.9259999999999999,5.0,0.906,6.0,0.8740000000000001,7.0,0.966,2.0,0.934,4.0,volume,4,REC
x35data,SVM,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,volume,4,REC
x32data,SVM,0.91,7.0,0.934,4.0,0.93,6.0,0.946,3.0,0.948,2.0,0.932,5.0,0.9520000000000002,1.0,volume,4,REC
x31data,SVM,0.902,1.0,0.8720000000000001,6.0,0.8940000000000001,2.0,0.8700000000000001,7.0,0.8880000000000001,3.0,0.884,4.0,0.8799999999999999,5.0,volume,4,REC
x30data,SVM,0.898,7.0,0.95,4.0,0.946,6.0,0.948,5.0,0.958,1.0,0.952,2.5,0.952,2.5,volume,4,REC
x20data,SVM,0.96,1.0,0.938,4.0,0.916,5.0,0.89,7.0,0.914,6.0,0.9440000000000002,3.0,0.954,2.0,volume,4,REC
x1data,SVM,0.9,1.0,0.8360000000000001,2.0,0.8240000000000001,5.0,0.794,7.0,0.8,6.0,0.826,4.0,0.8320000000000001,3.0,volume,4,REC
x18data,SVM,0.958,3.5,0.958,3.5,0.958,3.5,0.958,3.5,0.958,3.5,0.958,3.5,0.956,7.0,volume,4,REC
appendicitis,SVM,0.8019999999999999,3.5,0.8019999999999999,3.5,0.812,1.0,0.8019999999999999,3.5,0.8019999999999999,3.5,0.792,6.0,0.782,7.0,volume,4,REC
autoUniv-au1-1000,SVM,0.74,1.5,0.736,3.0,0.732,4.0,0.722,7.0,0.7299999999999999,5.5,0.74,1.5,0.7299999999999999,5.5,volume,4,REC
climate-simulation-craches,SVM,0.9179999999999999,4.0,0.9179999999999999,4.0,0.9179999999999999,4.0,0.9179999999999999,4.0,0.9179999999999999,4.0,0.9179999999999999,4.0,0.9179999999999999,4.0,volume,4,REC
colon32,SVM,0.65,7.0,0.858,3.0,0.858,3.0,0.8420000000000001,5.0,0.8099999999999999,6.0,0.858,3.0,0.86,1.0,volume,4,REC
fertility-diagnosis,SVM,0.8800000000000001,1.0,0.8059999999999998,3.0,0.86,2.0,0.742,7.0,0.754,6.0,0.8039999999999999,4.0,0.774,5.0,volume,4,REC
habermans-survival,SVM,0.7380000000000001,4.0,0.736,5.0,0.7440000000000001,1.0,0.7340000000000001,6.0,0.7280000000000001,7.0,0.74,2.5,0.74,2.5,volume,4,REC
indian-liver-patient,SVM,0.7159999999999999,4.0,0.7159999999999999,4.0,0.7159999999999999,4.0,0.7159999999999999,4.0,0.7159999999999999,4.0,0.7159999999999999,4.0,0.7159999999999999,4.0,volume,4,REC
ionosphere,SVM,0.792,7.0,0.884,3.0,0.8779999999999999,6.0,0.8879999999999999,1.0,0.884,3.0,0.8800000000000001,5.0,0.884,3.0,volume,4,REC
lsvt-voice-rehabilitation,SVM,0.6659999999999999,4.0,0.6659999999999999,4.0,0.6659999999999999,4.0,0.6659999999999999,4.0,0.6659999999999999,4.0,0.6659999999999999,4.0,0.6659999999999999,4.0,volume,4,REC
ozone-eighthr,SVM,0.9399999999999998,4.0,0.9399999999999998,4.0,0.9399999999999998,4.0,0.9399999999999998,4.0,0.9399999999999998,4.0,0.9399999999999998,4.0,0.9399999999999998,4.0,volume,4,REC
ozone-onehr,SVM,0.97,4.0,0.97,4.0,0.97,4.0,0.97,4.0,0.97,4.0,0.97,4.0,0.97,4.0,volume,4,REC
parkinsons,SVM,0.752,4.0,0.752,4.0,0.752,4.0,0.752,4.0,0.752,4.0,0.752,4.0,0.752,4.0,volume,4,REC
phoneme,SVM,0.8020000000000002,7.0,0.8059999999999999,2.5,0.8059999999999999,2.5,0.8059999999999999,2.5,0.8059999999999999,2.5,0.804,5.5,0.804,5.5,volume,4,REC
pima-indians-diabetes,SVM,0.65,1.0,0.638,6.0,0.638,6.0,0.64,4.0,0.642,3.0,0.644,2.0,0.638,6.0,volume,4,REC
planning-relax,SVM,0.7120000000000001,3.5,0.7120000000000001,3.5,0.7020000000000001,7.0,0.7120000000000001,3.5,0.7120000000000001,3.5,0.7120000000000001,3.5,0.7120000000000001,3.5,volume,4,REC
qsar-biodegradation,SVM,0.66,3.5,0.66,3.5,0.66,3.5,0.66,3.5,0.66,3.5,0.66,3.5,0.636,7.0,volume,4,REC
saheart,SVM,0.654,3.5,0.654,3.5,0.654,3.5,0.654,3.5,0.654,3.5,0.654,3.5,0.638,7.0,volume,4,REC
seismic-bumps,SVM,0.93,3.0,0.93,3.0,0.93,3.0,0.91,6.0,0.93,3.0,0.93,3.0,0.902,7.0,volume,4,REC
spambase,SVM,0.61,7.0,0.6459999999999999,1.5,0.638,4.5,0.64,3.0,0.6380000000000001,4.5,0.6459999999999999,1.5,0.628,6.0,volume,4,REC
spectf-heart,SVM,0.728,4.0,0.728,4.0,0.728,4.0,0.728,4.0,0.728,4.0,0.728,4.0,0.728,4.0,volume,4,REC
statlog-german-credit,SVM,0.7,4.0,0.7,4.0,0.7,4.0,0.7,4.0,0.7,4.0,0.7,4.0,0.7,4.0,volume,4,REC
statlog-german-credit-numeric,SVM,0.7,2.5,0.6980000000000001,5.0,0.696,6.0,0.7,2.5,0.7,2.5,0.7,2.5,0.6799999999999999,7.0,volume,4,REC
thoracic-surgery,SVM,0.85,3.5,0.85,3.5,0.85,3.5,0.85,3.5,0.85,3.5,0.85,3.5,0.8300000000000001,7.0,volume,4,REC
thyroid-hypothyroid,SVM,0.9740000000000001,4.0,0.978,1.5,0.966,5.0,0.954,6.0,0.95,7.0,0.976,3.0,0.978,1.5,volume,4,REC
thyroid-sick-euthyroid,SVM,0.91,1.0,0.8779999999999999,3.0,0.852,7.0,0.8640000000000001,5.0,0.884,2.0,0.8759999999999999,4.0,0.8560000000000001,6.0,volume,4,REC
vertebra-column-2c,SVM,0.68,7.0,0.7839999999999999,1.5,0.7839999999999999,1.5,0.7819999999999999,4.0,0.7819999999999999,4.0,0.778,6.0,0.782,4.0,volume,4,REC
wdbc,SVM,0.63,4.0,0.63,4.0,0.63,4.0,0.63,4.0,0.63,4.0,0.63,4.0,0.63,4.0,volume,4,REC
wholesale-channel,SVM,0.8220000000000001,7.0,0.8460000000000001,1.0,0.8440000000000001,2.0,0.8380000000000001,5.0,0.8420000000000001,3.5,0.8420000000000001,3.5,0.828,6.0,volume,4,REC
wilt,SVM,0.95,1.0,0.934,5.0,0.9359999999999999,4.0,0.91,7.0,0.9440000000000002,2.0,0.938,3.0,0.916,6.0,volume,4,REC
