DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,ABC,0.9640000000000001,1.0,0.96,2.0,0.954,4.0,0.946,5.0,0.9280000000000002,6.0,0.956,3.0,area,1,REC
x80data,ABC,0.916,2.0,0.912,3.5,0.92,1.0,0.912,3.5,0.8699999999999999,6.0,0.8719999999999999,5.0,area,1,REC
x7data,ABC,0.946,6.0,0.96,4.0,0.966,2.0,0.968,1.0,0.9620000000000001,3.0,0.952,5.0,area,1,REC
x79data,ABC,0.934,3.0,0.938,1.0,0.934,3.0,0.934,3.0,0.91,5.5,0.91,5.5,area,1,REC
x78data,ABC,0.968,2.5,0.948,5.0,0.944,6.0,0.968,2.5,0.972,1.0,0.954,4.0,area,1,REC
x76data,ABC,0.938,2.5,0.906,5.0,0.938,2.5,0.9440000000000002,1.0,0.9259999999999999,4.0,0.898,6.0,area,1,REC
x75data,ABC,0.992,3.0,0.992,3.0,0.996,1.0,0.992,3.0,0.95,6.0,0.982,5.0,area,1,REC
x74data,ABC,0.984,3.5,0.988,2.0,0.996,1.0,0.984,3.5,0.968,5.0,0.9640000000000001,6.0,area,1,REC
x73data,ABC,0.908,1.0,0.8939999999999999,3.5,0.9,2.0,0.8939999999999999,3.5,0.884,5.0,0.882,6.0,area,1,REC
x72data,ABC,0.948,5.0,0.954,4.0,0.9599999999999996,1.0,0.9559999999999998,3.0,0.958,2.0,0.942,6.0,area,1,REC
x71data,ABC,0.934,5.0,0.94,3.0,0.938,4.0,0.944,1.0,0.9259999999999999,6.0,0.942,2.0,area,1,REC
x70data,ABC,0.76,1.5,0.742,6.0,0.75,3.5,0.75,3.5,0.76,1.5,0.7440000000000001,5.0,area,1,REC
x69data,ABC,0.7659999999999999,2.0,0.758,3.0,0.774,1.0,0.748,5.0,0.75,4.0,0.7459999999999999,6.0,area,1,REC
x68data,ABC,0.962,2.5,0.9640000000000001,1.0,0.9620000000000001,2.5,0.96,4.0,0.958,5.0,0.946,6.0,area,1,REC
x66data,ABC,0.7539999999999999,1.0,0.726,4.0,0.732,3.0,0.708,5.5,0.708,5.5,0.75,2.0,area,1,REC
x65data,ABC,0.8299999999999998,1.0,0.8079999999999999,2.0,0.784,5.0,0.7959999999999999,4.0,0.7979999999999999,3.0,0.774,6.0,area,1,REC
x64data,ABC,0.994,4.0,1.0,1.5,1.0,1.5,0.994,4.0,0.994,4.0,0.97,6.0,area,1,REC
x63data,ABC,0.6459999999999999,2.5,0.632,6.0,0.642,5.0,0.65,1.0,0.644,4.0,0.6460000000000001,2.5,area,1,REC
x60data,ABC,0.8160000000000001,1.0,0.77,5.0,0.7779999999999999,3.5,0.794,2.0,0.7559999999999999,6.0,0.7779999999999999,3.5,area,1,REC
x50data,ABC,0.976,1.0,0.952,5.0,0.966,2.0,0.9640000000000001,3.0,0.9540000000000001,4.0,0.93,6.0,area,1,REC
x4data,ABC,0.986,1.0,0.98,2.0,0.972,4.5,0.974,3.0,0.96,6.0,0.972,4.5,area,1,REC
x48data,ABC,0.978,1.0,0.9740000000000001,2.0,0.968,4.0,0.972,3.0,0.924,6.0,0.95,5.0,area,1,REC
x45data,ABC,0.966,2.0,0.9179999999999999,6.0,0.9359999999999999,3.0,0.9279999999999999,4.0,0.922,5.0,0.972,1.0,area,1,REC
x39data,ABC,0.996,2.5,0.996,2.5,0.996,2.5,0.996,2.5,0.988,5.0,0.946,6.0,area,1,REC
x38data,ABC,0.986,1.5,0.986,1.5,0.982,3.0,0.974,4.0,0.962,5.0,0.9179999999999999,6.0,area,1,REC
x35data,ABC,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.9940000000000001,6.0,area,1,REC
